Site,Parameter,Date (LST),Year,Month,Day,Hour,Value
Beijing,PM2.5,2011/1/12 9:00,2011,1,12,9,61
Beijing,PM2.5,2011/1/12 10:00,2011,1,12,10,86
Beijing,PM2.5,2011/1/12 11:00,2011,1,12,11,71
Beijing,PM2.5,2011/1/12 12:00,2011,1,12,12,56
Beijing,PM2.5,2011/1/12 13:00,2011,1,12,13,79
Beijing,PM2.5,2011/1/12 14:00,2011,1,12,14,81
Beijing,PM2.5,2011/1/12 15:00,2011,1,12,15,89
Beijing,PM2.5,2011/1/12 16:00,2011,1,12,16,45
Beijing,PM2.5,2011/1/12 17:00,2011,1,12,17,55
Beijing,PM2.5,2011/1/12 18:00,2011,1,12,18,49
Beijing,PM2.5,2011/1/12 19:00,2011,1,12,19,66
Beijing,PM2.5,2011/1/12 20:00,2011,1,12,20,96
Beijing,PM2.5,2011/1/12 21:00,2011,1,12,21,100
Beijing,PM2.5,2011/1/12 22:00,2011,1,12,22,124
Beijing,PM2.5,2011/1/12 23:00,2011,1,12,23,144
Beijing,PM2.5,2011/1/13 0:00,2011,1,13,0,252
Beijing,PM2.5,2011/1/13 1:00,2011,1,13,1,244
Beijing,PM2.5,2011/1/13 2:00,2011,1,13,2,204
Beijing,PM2.5,2011/1/13 3:00,2011,1,13,3,166
Beijing,PM2.5,2011/1/13 4:00,2011,1,13,4,138
Beijing,PM2.5,2011/1/13 5:00,2011,1,13,5,149
Beijing,PM2.5,2011/1/13 6:00,2011,1,13,6,139
Beijing,PM2.5,2011/1/13 7:00,2011,1,13,7,168
Beijing,PM2.5,2011/1/13 8:00,2011,1,13,8,165
Beijing,PM2.5,2011/1/13 9:00,2011,1,13,9,123
Beijing,PM2.5,2011/1/13 10:00,2011,1,13,10,125
Beijing,PM2.5,2011/1/13 11:00,2011,1,13,11,111
Beijing,PM2.5,2011/1/13 12:00,2011,1,13,12,79
Beijing,PM2.5,2011/1/13 13:00,2011,1,13,13,51
Beijing,PM2.5,2011/1/13 14:00,2011,1,13,14,69
Beijing,PM2.5,2011/1/13 15:00,2011,1,13,15,75
Beijing,PM2.5,2011/1/13 16:00,2011,1,13,16,60
Beijing,PM2.5,2011/1/13 17:00,2011,1,13,17,62
Beijing,PM2.5,2011/1/13 18:00,2011,1,13,18,74
Beijing,PM2.5,2011/1/13 19:00,2011,1,13,19,95
Beijing,PM2.5,2011/1/13 20:00,2011,1,13,20,120
Beijing,PM2.5,2011/1/13 21:00,2011,1,13,21,125
Beijing,PM2.5,2011/1/13 22:00,2011,1,13,22,95
Beijing,PM2.5,2011/1/13 23:00,2011,1,13,23,27
Beijing,PM2.5,2011/1/14 0:00,2011,1,14,0,25
Beijing,PM2.5,2011/1/14 1:00,2011,1,14,1,25
Beijing,PM2.5,2011/1/14 2:00,2011,1,14,2,18
Beijing,PM2.5,2011/1/14 3:00,2011,1,14,3,12
Beijing,PM2.5,2011/1/14 4:00,2011,1,14,4,17
Beijing,PM2.5,2011/1/14 5:00,2011,1,14,5,14
